codigo,descricao,codigo_grupo
3411,MÁQUINAS DE BROCAR                                                                                                      ,34
3412,MÁQUINAS DE MANDRILAR                                                                                                   ,34
3413,MÁQUINAS DE FURAR E ABRIR ROSCAS                                                                                        ,34
3414,MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS                                                                         ,34
3415,MÁQUINAS RETIFICADORAS                                                                                                  ,34
3416,TORNOS                                                                                                                  ,34
3417,MÁQUINAS DE FRESAR                                                                                                      ,34
3418,MÁQUINAS DE APLAINAR E TALHAR                                                                                           ,34
3419,MÁQUINAS-FERRAMENTA DIVERSAS                                                                                            ,34
3422,MÁQUINAS DE LAMINAR E TREFILAR                                                                                          ,34
3424,EQUIPAMENTO DE TRATAMENTO TÉRMICO E NÃO TÉRMICO DE METAIS                                                               ,34
3426,EQUIPAMENTOS PARA ACABAMENTO EM METAL                                                                                   ,34
3427,DEBASTADORAS E PLAINAS-LIMADORAS                                                                                        ,34
3431,EQUIPAMENTO PARA SOLDA A ARCO VOLTAICO                                                                                  ,34
3432,EQUIPAMENTO PARA SOLDA A RESISTÊNCIA ELÉTRICA                                                                           ,34
3433,"EQUIPAMENTO PARA SOLDA A GÁS, CORTE POR AQUECIMENTO E DE  METALIZAÇÃO                                                   ",34
3436,POSICIONADORES E MANIPULADORES DE SOLDA                                                                                 ,34
3438,EQUIPAMENTOS DIVERSOS DE SOLDA                                                                                          ,34
3439,"SUPRIMENTOS E ACESSÓRIOS PARA SOLDAS DIVERSAS, FRACAS E  FORTES                                                         ",34
3440,MATERIAIS E EQUIPAMENTOS PARA FUNDICAO                                                                                  ,34
3441,MÁQUINAS DE DOBRAR E DE MODELAR                                                                                         ,34
3442,PRENSAS HIDRÁULICAS E PNEUMÁTICAS ACIONADAS POR ENERGIA                                                                 ,34
3443,PRENSAS MECÂNICAS ACIONADAS POR ENERGIA                                                                                 ,34
3444,PRENSAS MANUAIS                                                                                                         ,34
3445,MÁQUINAS DE PUNCIONAR E CORTAR                                                                                          ,34
3446,FORJAS MECÂNICAS E MARTELOS PARA FORJAS                                                                                 ,34
3447,MÁQUINAS DE MODELAR FIOS E FITAS DE METAL                                                                               ,34
